,roles,companies,locations,experience,skills
426,Principal Data Scientist - NLP/Voice AI,TVS MOTOR COMPANY LTD,Bengaluru,4-8 Yrs,"Data Science
Recommender Systems
Cnn
Rnn
NLP
C
Artificial Intelligence
Classification"
427,Opportunity For Data Scientist For Global Investment firm,Anlage Infotech (I) Pvt. Ltd.,"Chennai, Pune",10-15 Yrs,"ai/ml
Data Science
Python
Data scientist
Predictive Modeling
Logistic Regression
Artificial Intelligence
Natural Language Processing"
428,Data Scientist - Image Processing/machine Learning,CarbyneTech India,Hyderabad,6-11 Yrs,"Predictive Modeling
Data Science
Data Scientist
Time Series Analysis
Image Processing
Data Management
Statistical Analyst
Machine Learning"
429,Data Scientist,Novartis Healthcare Pvt. Ltd.,Hyderabad,6-10 Yrs,"Procurement
Computer science
Web technologies
Coding
HTML
Budgeting
Data mining
Robotics"
430,Data Scientist - Machine Learning/deep Learning,SKS Enterpprises,Bengaluru,6-10 Yrs,"Data Science
R
Data Scientist
Neural Networks
Data Mining
Data Analytics
Machine Learning
Algorithm"
431,Senior Data Scientist / Machine Learning / AI Engineer,Bion,Bengaluru,8-13 Yrs,"Java
Rest
Software Development
Artificial Intelligence
Weblogic
Javascript
Programming
J2Ee"
432,Data Scientist - Analytics Division - Tech Service Provider Firm,Mirus Solutions,Bengaluru,5-10 Yrs,"Data Management
Machine Learning
Analytics
Numpy
Data Science
NLTK
NLP
Data Scientist"
433,Data Scientist/Data Science,Skyleaf Consultants,Mumbai,8-13 Yrs,"matlab
python
bigdata
neural networks
robotics
machine learning
iot
deep learning"
434,Principal Data Scientist - Recommender system,TVS MOTOR COMPANY LTD,Bengaluru,8-10 Yrs,data
435,Data Scientist - Advanced Analytics,Novartis Healthcare Pvt. Ltd.,Hyderabad,6-10 Yrs,"Unix
Computer science
advanced analytics
C++
Change management
XML
Perl
MATLAB"
436,Lead Data Scientist - Machine Learning/ Deep Learning,SKS Enterpprises,Pune,12-16 Yrs,"NLP
Data Scientist
Data Management
NLU / NLG
Data Modeling
Data Analytics
Algorithm
Machine Learning"
437,Data Scientist,Quality Engineering Software Technologies Pvt. Ltd.,Bengaluru,4-8 Yrs,"deep learning
Machine learning
Predictive analytics
Quest
Python"
438,Data Scientist - SAS/ SQL/ SPSS,Talpro,"Delhi NCR, Bengaluru",8-12 Yrs,"R
SAS
Data Management
SPSS
Analytics
SQL"
439,Data Scientist,Quality Engineering Software Technologies Pvt. Ltd.,Bengaluru,4-8 Yrs,"Mac Os
IOS
Quest
Python"
440,Sr. Data Scientist,Crayon Data,Chennai,8-13 Yrs,"GIS
Computer science
Operations research
Prototype
NoSQL
data science
Social science
Project management"
441,Data Scientist,Bigtree Entertainment Pvt. Ltd,Mumbai,2-6 Yrs,"interfaces
oracle
workflow
functions
configuration
mysql
data integration
sql server"
442,.1787_Data Scientist _Bangalore,Sigma Allied Services private Limited,Bengaluru,2-5 Yrs,"Data Science
Predictive Modeling
R
Neural Networks
Data Analysis
Data Mining
Machine Learning
Deep Learning"
443,Associate Data Scientist,Client of PeopleLogic,Bengaluru,6-8 Yrs,"Engineering
DBA
Engineer
data
Technology
Computer Science
Database
engineer"
444,Data Scientist,Bigtree Entertainment Pvt. Ltd,Mumbai,2-7 Yrs,"interfaces
oracle
workflow
functions
configuration
mysql
data integration
sql server"
445,Data Scientist,Bigtree Entertainment Pvt. Ltd,Mumbai,2-5 Yrs,"Report generation
MySQL
query
Database
Writing
Workflow
Oracle
Business Executive"
446,Associate Data Scientist,Right Step Consulting,Noida,3-6 Yrs,"E-learning
Linux
Data management
Javascript
Tools
Business intelligence
Digital marketing
Analytics"
